Date (DD/MM/YYYY),Max.Demand met during the day (MW),Shortage during maximum Demand (MW),Energy Met (MU),"Drawal Schedule
(MU)",OD(+)/UD(-) (MU),Max OD (MW),Energy Shortage (MU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/13,3381.00,0.00,60.80,40.10,1.60,315.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/08/15,4862.00,0.00,104.10,91.10,-1.10,93.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/11/14,2934.00,15.00,54.90,35.70,-1.90,116.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/09/22,5947.00,0.00,121.60,110.80,-2.00,168.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/15,2880.00,0.00,55.50,40.40,-0.40,221.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/12/20,4376.00,0.00,70.60,54.50,-1.20,354.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/02/22,3756.00,0.00,63.20,51.80,-1.00,164.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/01/19,4222.00,0.00,68.90,53.70,-0.50,213.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/05/17,5076.00,0.00,98.00,81.90,-2.20,210.00 ,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/04/20,2853.00,0.00,59.90,50.20,-2.50,0.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/14,5037.00,0.00,103.20,74.50,-2.20,173.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/19,6090.00,0.00,121.30,100.80,1.70,650.00 ,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/18,3708.00,0.00,62.20,48.60,0.60,224.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/10/19,3782.00,0.00,73.70,59.80,-1.90,166.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/09/18,4151.00,0.00,83.60,65.00,-1.90,40.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/06/13,3637.00,12.00,76.10,66.30,-5.40,"120
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/06/16,5905.00,0.00,120.20,105.20,-1.80,"486
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/07/21,5585.00,0.00,113.70,101.90,-1.30,144.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/15,3303.00,0.00,64.40,46.30,0.10,"214
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/17,5493.00,0.00,111.70,86.10,1.90,555.00 ,"0.1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/6/20,4583.00,0.00,88.00,76.90,-1.20,194.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/18,6270.00,0.00,127.90,102.50,-1.70,128.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/08/13,4500.00,5.00,93.10,76.20,-2.10,"236
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/15,3349.00,0.00,60.30,46.00,0.50,"214
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/08/16,4935.00,0.00,103.70,83.40,-1.50,"155
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/15,4106.00,0.00,70.70,40.50,0.40,"266
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/20,3322.00,0.00,60.30,44.40,-0.90,171.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/09/21,4567.00,0.00,93.00,83.80,-2.50,48.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/01/23,3943.00,0.00,64.80,58.10,-2.20,243.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/13,2926.00,0.00,53.70,36.60,-1.10,"365
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/06/18,6429.00,0.00,132.40,107.90,-2.30,190.00 ,"0.1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/09/13,4197.00,0.00,88.20,67.90,1.10,"259
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/10/17,4441.00,0.00,93.80,70.30,-1.90,58.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/09/16,5059.00,5.00,105.60,83.40,0.60,"197
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/22,4559.00,0.00,72.00,62.10,-2.80,293.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/08/21,6337.00,0.00,124.50,110.90,-1.40,176.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/11/20,2865.00,0.00,54.40,38.00,-1.00,133.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/02/16,3086.00,0.00,56.20,42.90,-1.40,"192
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/14,3580.00,0.00,62.40,43.50,-2.60,"240
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/21,3423.00,0.00,69.90,54.10,-1.50,96.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/18,4612.00,0.00,98.70,66.50,-0.40,212.00 ,"0.2
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/19,6155.00,0.00,128.70,106.20,-0.60,154.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/18,5378.00,0.00,111.70,87.50,-0.20,142.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/07/13,4796.00,2.00,103.70,82.90,-3.10,"102
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/07/16,4822.00,0.00,99.60,78.50,-0.30,"159
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/14,3245.00,0.00,65.70,52.90,-2.20,"156
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/23,5948.00,0.00,110.20,103.40,-6.10,60.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/06/21,6403.00,0.00,128.90,115.10,-0.70,271.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/17,6441.00,0.00,133.90,109.50,0.90,368.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/20,5079.00,0.00,104.70,90.60,-1.80,198.00 ,"0.1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/15,5194.00,11.00,106.40,89.30,0.40,"312
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/06/22,5790.00,0.00,116.80,105.80,-1.10,160.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/16,4955.00,6.00,95.80,77.60,-0.60,"158
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/21,3503.00,0.00,71.00,55.70,-1.90,134.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/19,5439.00,0.00,110.50,93.80,-0.10,198.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/10/14,3360.00,13.00,68.40,40.10,0.60,"270
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/14,3265.00,51.00,58.00,35.30,2.80,"400
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/23,4584.00,0.00,75.50,68.00,-1.60,190.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/21,3625.00,0.00,63.30,50.20,0.70,274.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/01/17,3711.00,0.00,63.80,53.80,-0.70,"226
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/22,3765.00,0.00,76.20,68.90,-1.10,178.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/14,5128.00,144.00,108.40,79.10,1.00,"282
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/11/15,3000.00,2.00,54.30,39.90,0.20,"164
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
