,Date (DD/MM/YYYY),Max.Demand met during the day (MW),Shortage during maximum Demand (MW),Energy Met (MU),"Drawal Schedule
(MU)",OD(+)/UD(-) (MU),Max OD (MW),Energy Shortage (MU)
0,1/4/13,2776,0.00,56.10,34.10,-0.70,158.00,
1,2/4/13,3034,0.00,61.00,34.10,0.90,256.00,
2,3/4/13,2991,0.00,62.10,33.10,-1.10,202.00,
3,4/4/13,3125,0.00,62.00,37.70,-2.70,206.00,
4,5/4/13,3160,0.00,63.00,42.00,-2.60,167.00,
5,6/4/13,3153,0.00,64.60,43.50,-2.70,93.00,
6,7/4/13,3055,0.00,62.60,40.30,-2.50,30.00,
7,8/4/13,2993,0.00,60.10,37.20,-1.80,47.00,
8,9/4/13,3328,60.00,68.40,37.20,-1.20,510.00,
9,10/4/13,3314,226.00,69.90,42.80,-0.50,254.00,
10,11/4/13,3513,0.00,72.70,46.70,-0.90,167.00,
11,12/4/13,3491,0.00,74.70,47.30,-0.90,149.00,
12,13/04/13,3511,221.00,73.10,46.00,-0.80,259.00,
13,14/04/13,3153,0.00,67.50,49.40,-8.60,0.00,
14,15/04/13,3180,0.00,68.60,49.40,-5.70,0.00,
15,16/04/13,3558,0.00,75.30,53.40,-3.70,308.00,
16,17/04/13,3646,0.00,78.60,54.60,-2.50,94.00,
17,18/04/13,3658,0.00,78.40,56.00,-3.30,29.00,
18,19/04/13,3751,0.00,78.60,57.90,-3.80,82.00,
19,20/04/13,3534,0.00,76.30,56.80,-3.30,47.00,
20,21/04/13,3592,0.00,76.50,57.20,-4.30,36.00,
21,22/04/13,3247,0.00,71.10,52.80,-2.50,99.00,
22,23/04/13,3535,0.00,74.00,55.80,-3.40,21.00,
23,24/04/13,3601,0.00,77.10,54.70,-3.70,32.00,
24,25/04/13,3692,0.00,78.40,53.90,-3.20,6.00,
25,26/04/13,3937,0.00,83.40,58.10,-3.20,144.00,
26,27/04/13,3871,0.00,83.60,58.90,-2.50,45.00,
27,28/04/13,3570,0.00,79.20,51.30,-1.70,227.00,
28,29/04/13,3497,0.00,74.50,48.00,-4.50,0.00,
29,30/04/13,3880,3.00,81.60,54.70,-2.50,254.00,
30,1/5/13,4126,0.00,86.10,57.60,-1.40,164.00,
31,2/5/13,3853,0.00,82.70,56.10,-5.00,0.00,
32,3/5/13,3918,0.00,83.50,55.30,-4.00,125.00,
33,4/5/13,3931,0.00,85.30,57.30,-3.30,81.00,
34,5/5/13,3930,0.00,83.30,58.00,-2.70,67.00,
35,6/5/13,4013,0.00,80.80,54.70,-2.70,171.00,
36,7/5/13,4325,0.00,90.80,60.60,-2.70,144.00,
37,8/5/13,4351,0.00,92.10,59.80,-1.10,353.00,
38,9/5/13,4488,0.00,93.00,66.00,-5.20,77.00,
39,10/5/13,4554,0.00,94.80,65.20,-1.10,282.00,
40,11/5/13,4547,4.00,96.60,68.30,-4.80,93.00,
41,12/5/13,4151,0.00,88.30,60.70,-2.80,297.00,
42,13/05/13,3775,3.00,79.70,59.80,-3.40,440.00,
43,14/05/13,4155,0.00,86.90,65.50,-3.30,132.00,
44,15/05/13,4361,0.00,89.80,66.00,-3.60,244.00,
45,16/05/13,4435,0.00,92.20,65.70,-3.80,122.00,
46,17/05/13,4521,0.00,94.40,67.70,-3.70,52.00,
47,18/05/13,4578,0.00,95.50,67.90,-2.40,126.00,
48,19/05/13,4381,15.00,93.70,67.40,-4.90,149.00,
49,20/05/13,4384,4.00,92.60,65.90,-2.70,154.00,
50,21/05/13,4713,6.00,99.60,74.70,-4.00,194.00,
51,22/05/13,4892,0.00,101.30,75.90,-4.20,133.00,
52,23/05/13,4895,0.00,101.80,74.90,-4.00,368.00,
53,24/05/13,4996,34.00,104.90,78.30,-3.20,229.00,
54,25/05/13,5173,3.00,107.70,79.60,-3.00,203.00,
55,26/05/13,4906,45.00,105.30,78.60,-3.80,97.00,
56,27/05/13,4739,0.00,100.00,76.20,-5.50,0.00,
57,28/05/13,5198,0.00,108.40,81.50,-3.50,195.00,
58,29/05/13,5001,0.00,105.80,78.30,-3.00,134.00,
59,30/05/13,4981,0.00,104.50,79.20,-4.70,119.00,
60,1/6/13,4822,0.00,104.70,74.20,-1.30,330.00,
61,2/6/13,4490,2.00,96.20,70.80,-4.00,35.00,
62,3/6/13,4510,0.00,89.10,65.50,-3.40,152.00,
63,5/6/13,5010,0.00,104.70,77.00,-2.60,60.00,
64,6/6/13,5161,0.00,109.20,81.40,-0.10,327.00,
65,7/6/13,5567,0.00,106.10,78.20,-1.70,568.00,
66,8/6/13,5091,0.00,104.40,79.50,0.70,419.00,
67,9/6/13,5052,4.00,107.00,82.90,-1.90,157.00,
68,10/6/13,4908,4.00,103.00,80.30,-1.40,145.00,
69,11/6/13,5139,0.00,109.60,83.40,-0.70,204.00,
70,12/6/13,4838,0.00,103.80,79.40,-4.10,103.00,
71,13/06/13,5045,0.00,104.20,81.70,-3.10,156.00,
72,14/06/13,4698,29.00,97.80,75.90,-2.50,178.00,
73,15/06/13,4640,0.00,97.60,77.70,-3.50,312.00,
74,16/06/13,4367,4.00,89.30,70.90,-2.70,251.00,
75,17/06/13,3591,17.00,75.00,63.10,-5.50,253.00,
76,18/06/13,3637,12.00,76.10,66.30,-5.40,120.00,
77,19/06/13,3852,14.00,81.10,66.70,-2.70,384.00,
78,20/06/13,4118,0.00,86.50,70.00,-4.40,120.00,
79,21/06/13,4581,0.00,94.10,74.80,-3.50,207.00,
80,22/06/13,4812,0.00,103.30,79.50,-2.10,303.00,
81,23/06/13,4791,0.00,100.40,81.70,-5.20,150.00,
82,24/06/13,4900,20.00,102.90,80.30,-3.60,168.00,
83,25/06/13,5364,0.00,109.50,80.80,-1.50,288.00,
84,26/06/13,4999,0.00,105.20,77.60,-3.90,81.00,
85,27/06/13,4867,0.00,102.20,76.00,-3.30,123.00,
86,28/06/13,5048,7.00,104.10,76.30,-3.30,415.00,
87,30/06/13,4837,0.00,100.00,69.80,1.70,507.00,
88,1/7/13,4721,120.00,96.60,69.60,0.20,382.00,
89,2/7/13,5070,0.00,106.30,83.50,-4.40,148.00,
90,3/7/13,5338,0.00,110.30,83.80,-2.60,382.00,
91,4/7/13,5077,0.00,106.30,83.00,-4.10,224.00,
92,5/7/13,5197,2.00,108.20,85.00,-4.90,85.00,
93,6/7/13,5181,124.00,108.60,86.40,-7.00,120.00,
94,7/7/13,4743,0.00,103.10,75.20,-0.10,410.00,
95,8/7/13,4648,0.00,97.00,72.90,-3.00,140.00,
96,9/7/13,4958,0.00,101.70,76.00,-2.90,192.00,
97,10/7/13,4786,0.00,93.80,70.80,-4.40,122.00,
98,11/7/13,4488,0.00,93.00,71.90,-3.20,173.00,
99,12/7/13,4760,0.00,99.00,75.30,-2.00,102.00,
100,13/07/13,4580,8.00,97.90,76.20,-2.00,272.00,
101,14/07/13,4571,0.00,97.70,78.60,-0.30,227.00,
102,15/07/13,4396,13.00,96.00,77.20,-0.50,329.00,
103,16/07/13,4948,62.00,102.40,79.10,1.50,274.00,
104,17/07/13,4796,2.00,103.70,82.90,-3.10,102.00,
105,18/07/13,4974,0.00,103.90,83.00,-1.60,227.00,
106,19/07/13,5053,48.00,104.00,84.10,-1.00,168.00,
107,20/07/13,5020,0.00,104.00,85.50,-2.80,65.00,
108,21/07/13,4318,0.00,85.90,72.10,-6.10,95.00,
109,22/07/13,4251,0.00,82.70,66.90,-3.00,199.00,
110,23/07/13,4323,0.00,92.40,77.00,-3.90,162.00,
111,24/07/13,4683,8.00,96.70,79.30,-2.60,196.00,
112,25/07/13,4949,0.00,100.20,81.60,-2.50,362.00,
113,26/07/13,4561,0.00,94.50,78.50,-3.50,220.00,
114,27/07/13,4606,0.00,95.00,80.90,-4.70,32.00,
115,29/07/13,4675,0.00,93.70,77.40,-0.20,286.00,
116,30/07/13,4932,0.00,102.60,85.30,-1.10,300.00,
117,31/07/13,4828,131.00,102.50,83.10,-2.10,168.00,
118,1/8/13,4508,0.00,96.90,78.70,-3.90,201.00,
119,2/8/13,4646,1.00,97.10,78.90,-2.90,158.00,
120,3/8/13,4783,0.00,102.10,81.90,-1.60,277.00,
121,4/8/13,4709,0.00,97.80,76.70,-3.10,269.00,
122,5/8/13,4853,0.00,94.40,74.60,-3.20,83.00,
123,6/8/13,4649,75.00,103.50,71.80,2.50,361.00,
124,7/8/13,4197,5.00,94.00,68.20,-5.70,28.00,
125,8/8/13,4218,0.00,90.80,68.00,-5.60,145.00,
126,9/8/13,4160,20.00,89.90,66.30,-2.40,68.00,
127,10/8/13,3665,0.00,81.50,60.10,-4.00,162.00,
128,11/8/13,3881,0.00,82.40,61.40,-1.70,165.00,
129,12/8/13,4075,0.00,82.40,59.20,-0.70,323.00,
130,13/08/13,4405,0.00,97.30,69.70,-1.00,187.00,
131,14/08/13,4341,0.00,93.30,70.30,-1.50,228.00,
132,16/08/13,3756,0.00,73.40,64.10,-9.40,0.00,
133,17/08/13,4090,0.00,83.80,65.40,-1.70,185.00,
134,18/08/13,3783,0.00,81.60,60.40,-2.90,147.00,
135,19/08/13,3772,0.00,79.90,58.00,-2.20,123.00,
136,20/08/13,4081,0.00,86.30,66.40,-2.10,208.00,
137,21/08/13,3811,0.00,80.60,62.60,-0.80,336.00,
138,22/08/13,4167,0.00,86.10,67.70,-0.90,202.00,
139,23/08/13,4154,0.00,88.30,71.10,-1.70,169.00,
140,24/08/13,4447,205.00,92.80,74.20,0.30,376.00,
141,25/08/13,4542,205.00,95.30,76.10,0.10,326.00,
142,26/08/13,4500,5.00,93.10,76.20,-2.10,236.00,
143,27/08/13,4930,0.00,101.80,80.80,0.30,334.00,
144,28/08/13,4859,0.00,104.40,78.80,-1.80,259.00,
145,31/08/13,4426,0.00,97.00,74.60,-2.50,269.00,
146,1/9/13,4229,0.00,91.80,70.60,-2.30,203.00,
147,2/9/13,4415,0.00,88.70,67.10,-2.40,245.00,
148,3/9/13,4691,0.00,97.70,75.70,-2.20,129.00,
149,4/9/13,4690,0.00,97.30,76.50,-3.00,65.00,
150,5/9/13,4574,42.00,97.10,73.70,-0.80,134.00,
151,6/9/13,4637,29.00,98.10,74.30,-0.30,274.00,
152,7/9/13,4644,0.00,98.00,74.20,-0.90,173.00,
153,8/9/13,4531,0.00,94.60,72.50,-1.90,131.00,
154,9/9/13,4251,0.00,89.80,66.20,-2.50,90.00,
155,10/9/13,4373,0.00,94.80,73.80,-3.10,140.00,
156,11/9/13,4659,0.00,96.80,75.80,-4.20,120.00,
157,12/9/13,4788,0.00,98.90,74.00,-0.30,232.00,
158,13/09/13,4685,0.00,101.40,77.10,-1.90,184.00,
159,14/09/13,4750,0.00,102.90,77.90,-2.80,72.00,
160,16/09/13,4504,0.00,94.40,66.60,0.10,490.00,
161,17/09/13,4461,0.00,96.80,69.80,-3.40,88.00,
162,18/09/13,4374,6.00,93.90,66.80,-3.60,80.00,
163,19/09/13,4430,0.00,94.70,68.00,-3.80,125.00,
164,20/09/13,4556,0.00,96.80,65.70,-0.90,186.00,
165,22/09/13,3982,0.00,83.70,59.60,-5.90,173.00,
166,23/09/13,3953,5.00,78.80,53.60,-0.30,253.00,
167,25/09/13,4544,0.00,96.40,70.20,-1.70,384.00,
168,26/09/13,4348,0.00,94.00,69.00,-2.10,147.00,
169,27/09/13,4310,0.00,92.90,69.90,-1.00,200.00,
170,28/09/13,4449,0.00,92.00,67.40,1.20,274.00,
171,29/09/13,4197,0.00,88.20,67.90,1.10,259.00,
172,30/09/13,3901,0.00,84.10,66.50,-2.60,125.00,
173,1/10/13,4079,0.00,84.50,66.80,-2.50,139.00,
