,Date (DD/MM/YYYY),Unnamed: 0,Max.Demand met during the day (MW),Shortage during maximum Demand (MW),Energy Met (MU),"Drawal Schedule
(MU)",OD(+)/UD(-) (MU),Max OD (MW),Energy Shortage (MU)
0,2013-04-01,0.0,2776.0,0.0,56.1,34.1,-0.7,158.0,0.0
1,2013-04-02,1.0,3034.0,0.0,61.0,34.1,0.9,256.0,0.0
2,2013-04-03,2.0,2991.0,0.0,62.1,33.1,-1.1,202.0,0.0
3,2013-04-04,3.0,3125.0,0.0,62.0,37.7,-2.7,206.0,0.0
4,2013-04-05,4.0,3160.0,0.0,63.0,42.0,-2.6,167.0,0.0
5,2013-04-06,5.0,3153.0,0.0,64.6,43.5,-2.7,93.0,0.0
6,2013-04-07,6.0,3055.0,0.0,62.6,40.3,-2.5,30.0,0.0
7,2013-04-08,7.0,2993.0,0.0,60.1,37.2,-1.8,47.0,0.0
8,2013-04-09,8.0,3328.0,60.0,68.4,37.2,-1.2,510.0,0.03333333333333333
9,2013-04-10,9.0,3314.0,226.0,69.9,42.8,-0.5,254.0,0.0
10,2013-04-11,10.0,3513.0,0.0,72.7,46.7,-0.9,167.0,0.0
11,2013-04-12,11.0,3491.0,0.0,74.7,47.3,-0.9,149.0,0.0
12,2013-04-13,12.0,3511.0,221.0,73.1,46.0,-0.8,259.0,0.0
13,2013-04-14,13.0,3153.0,0.0,67.5,49.4,-8.6,0.0,0.0
14,2013-04-15,14.0,3180.0,0.0,68.6,49.4,-5.7,0.0,0.0
15,2013-04-16,15.0,3558.0,0.0,75.3,53.4,-3.7,308.0,0.03333333333333333
16,2013-04-17,16.0,3646.0,0.0,78.6,54.6,-2.5,94.0,0.0
17,2013-04-18,17.0,3658.0,0.0,78.4,56.0,-3.3,29.0,0.0
18,2013-04-19,18.0,3751.0,0.0,78.6,57.9,-3.8,82.0,0.0
19,2013-04-20,19.0,3534.0,0.0,76.3,56.8,-3.3,47.0,0.0
20,2013-04-21,20.0,3592.0,0.0,76.5,57.2,-4.3,36.0,0.0
21,2013-04-22,21.0,3247.0,0.0,71.1,52.8,-2.5,99.0,0.0
22,2013-04-23,22.0,3535.0,0.0,74.0,55.8,-3.4,21.0,0.0
23,2013-04-24,23.0,3601.0,0.0,77.1,54.7,-3.7,32.0,0.0
24,2013-04-25,24.0,3692.0,0.0,78.4,53.9,-3.2,6.0,0.0
25,2013-04-26,25.0,3937.0,0.0,83.4,58.1,-3.2,144.0,0.0
26,2013-04-27,26.0,3871.0,0.0,83.6,58.9,-2.5,45.0,0.0
27,2013-04-28,27.0,3570.0,0.0,79.2,51.3,-1.7,227.0,0.03333333333333333
28,2013-04-29,28.0,3497.0,0.0,74.5,48.0,-4.5,0.0,0.0
29,2013-04-30,29.0,3880.0,3.0,81.6,54.7,-2.5,254.0,0.0
30,2013-05-01,30.0,4126.0,0.0,86.1,57.6,-1.4,164.0,0.0
31,2013-05-02,31.0,3853.0,0.0,82.7,56.1,-5.0,0.0,0.0
32,2013-05-03,32.0,3918.0,0.0,83.5,55.3,-4.0,125.0,0.0
33,2013-05-04,33.0,3931.0,0.0,85.3,57.3,-3.3,81.0,0.0
34,2013-05-05,34.0,3930.0,0.0,83.3,58.0,-2.7,67.0,0.0
35,2013-05-06,35.0,4013.0,0.0,80.8,54.7,-2.7,171.0,0.0
36,2013-05-07,36.0,4325.0,0.0,90.8,60.6,-2.7,144.0,0.0
37,2013-05-08,37.0,4351.0,0.0,92.1,59.8,-1.1,353.0,0.03333333333333333
38,2013-05-09,38.0,4488.0,0.0,93.0,66.0,-5.2,77.0,0.03333333333333333
39,2013-05-10,39.0,4554.0,0.0,94.8,65.2,-1.1,282.0,0.03333333333333333
40,2013-05-11,40.0,4547.0,4.0,96.6,68.3,-4.8,93.0,0.03333333333333333
41,2013-05-12,41.0,4151.0,0.0,88.3,60.7,-2.8,297.0,0.0
42,2013-05-13,42.0,3775.0,3.0,79.7,59.8,-3.4,440.0,0.03333333333333333
43,2013-05-14,43.0,4155.0,0.0,86.9,65.5,-3.3,132.0,0.0
44,2013-05-15,44.0,4361.0,0.0,89.8,66.0,-3.6,244.0,0.03333333333333333
45,2013-05-16,45.0,4435.0,0.0,92.2,65.7,-3.8,122.0,0.03333333333333333
46,2013-05-17,46.0,4521.0,0.0,94.4,67.7,-3.7,52.0,0.03333333333333333
47,2013-05-18,47.0,4578.0,0.0,95.5,67.9,-2.4,126.0,0.03333333333333333
48,2013-05-19,48.0,4381.0,15.0,93.7,67.4,-4.9,149.0,0.03333333333333333
49,2013-05-20,49.0,4384.0,4.0,92.6,65.9,-2.7,154.0,0.03333333333333333
50,2013-05-21,50.0,4713.0,6.0,99.6,74.7,-4.0,194.0,0.5
51,2013-05-22,51.0,4892.0,0.0,101.3,75.9,-4.2,133.0,0.5
52,2013-05-23,52.0,4895.0,0.0,101.8,74.9,-4.0,368.0,0.5
53,2013-05-24,53.0,4996.0,34.0,104.9,78.3,-3.2,229.0,0.5
54,2013-05-25,54.0,5173.0,3.0,107.7,79.6,-3.0,203.0,0.5
55,2013-05-26,55.0,4906.0,45.0,105.3,78.6,-3.8,97.0,0.5
56,2013-05-27,56.0,4739.0,0.0,100.0,76.2,-5.5,0.0,0.5
57,2013-05-28,57.0,5198.0,0.0,108.4,81.5,-3.5,195.0,0.5
58,2013-05-29,58.0,5001.0,0.0,105.8,78.3,-3.0,134.0,0.5
59,2013-05-30,59.0,4981.0,0.0,104.5,79.2,-4.7,119.0,0.5
60,2013-06-01,60.0,4822.0,0.0,104.7,74.2,-1.3,330.0,0.5
61,2013-06-02,61.0,4490.0,2.0,96.2,70.8,-4.0,35.0,0.03333333333333333
62,2013-06-03,62.0,4510.0,0.0,89.1,65.5,-3.4,152.0,0.03333333333333333
63,2013-06-05,63.0,5010.0,0.0,104.7,77.0,-2.6,60.0,0.5
64,2013-06-06,64.0,5161.0,0.0,109.2,81.4,-0.1,327.0,0.5
65,2013-06-07,65.0,5567.0,0.0,106.1,78.2,-1.7,568.0,0.13333333333333333
66,2013-06-08,66.0,5091.0,0.0,104.4,79.5,0.7,419.0,0.5
67,2013-06-09,67.0,5052.0,4.0,107.0,82.9,-1.9,157.0,0.5
68,2013-06-10,68.0,4908.0,4.0,103.0,80.3,-1.4,145.0,0.5
69,2013-06-11,69.0,5139.0,0.0,109.6,83.4,-0.7,204.0,0.5
70,2013-06-12,70.0,4838.0,0.0,103.8,79.4,-4.1,103.0,0.5
71,2013-06-13,71.0,5045.0,0.0,104.2,81.7,-3.1,156.0,0.5
72,2013-06-14,72.0,4698.0,29.0,97.8,75.9,-2.5,178.0,0.5
73,2013-06-15,73.0,4640.0,0.0,97.6,77.7,-3.5,312.0,0.03333333333333333
74,2013-06-16,74.0,4367.0,4.0,89.3,70.9,-2.7,251.0,0.03333333333333333
75,2013-06-17,75.0,3591.0,17.0,75.0,63.1,-5.5,253.0,0.03333333333333333
76,2013-06-18,76.0,3637.0,12.0,76.1,66.3,-5.4,120.0,0.0
77,2013-06-19,77.0,3852.0,14.0,81.1,66.7,-2.7,384.0,0.03333333333333333
78,2013-06-20,78.0,4118.0,0.0,86.5,70.0,-4.4,120.0,0.0
79,2013-06-21,79.0,4581.0,0.0,94.1,74.8,-3.5,207.0,0.03333333333333333
80,2013-06-22,80.0,4812.0,0.0,103.3,79.5,-2.1,303.0,0.5
81,2013-06-23,81.0,4791.0,0.0,100.4,81.7,-5.2,150.0,0.5
82,2013-06-24,82.0,4900.0,20.0,102.9,80.3,-3.6,168.0,0.5
83,2013-06-25,83.0,5364.0,0.0,109.5,80.8,-1.5,288.0,0.06666666666666667
84,2013-06-26,84.0,4999.0,0.0,105.2,77.6,-3.9,81.0,0.5
85,2013-06-27,85.0,4867.0,0.0,102.2,76.0,-3.3,123.0,0.5
86,2013-06-28,86.0,5048.0,7.0,104.1,76.3,-3.3,415.0,0.5
87,2013-06-30,87.0,4837.0,0.0,100.0,69.8,1.7,507.0,0.5
