,Unnamed: 0,Date (DD/MM/YYYY),Max.Demand met during the day (MW),Shortage during maximum Demand (MW),Energy Met (MU),"Drawal Schedule
(MU)",OD(+)/UD(-) (MU),Max OD (MW),Energy Shortage (MU)
0,0,2013-01-04,2776,0.0,56.1,34.1,-0.7,158.0,0.020362053162236483
1,1,2013-02-04,3034,0.0,61.0,34.1,0.9,256.0,0.020362053162236483
2,2,2013-03-04,2991,0.0,62.1,33.1,-1.1,202.0,0.020362053162236483
3,3,2013-04-04,3125,0.0,62.0,37.7,-2.7,206.0,0.020362053162236483
4,4,2013-05-04,3160,0.0,63.0,42.0,-2.6,167.0,0.020362053162236483
5,5,2013-06-04,3153,0.0,64.6,43.5,-2.7,93.0,0.020362053162236483
6,6,2013-07-04,3055,0.0,62.6,40.3,-2.5,30.0,0.020362053162236483
7,7,2013-08-04,2993,0.0,60.1,37.2,-1.8,47.0,0.020362053162236483
8,8,2013-09-04,3328,60.0,68.4,37.2,-1.2,510.0,0.020362053162236483
9,9,2013-10-04,3314,226.0,69.9,42.8,-0.5,254.0,0.020362053162236483
10,10,2013-11-04,3513,0.0,72.7,46.7,-0.9,167.0,0.020362053162236483
11,11,2013-12-04,3491,0.0,74.7,47.3,-0.9,149.0,0.020362053162236483
12,12,2013-04-13,3511,221.0,73.1,46.0,-0.8,259.0,0.020362053162236483
13,13,2013-04-14,3153,0.0,67.5,49.4,-8.6,0.0,0.020362053162236483
14,14,2013-04-15,3180,0.0,68.6,49.4,-5.7,0.0,0.020362053162236483
15,15,2013-04-16,3558,0.0,75.3,53.4,-3.7,308.0,0.020362053162236483
16,16,2013-04-17,3646,0.0,78.6,54.6,-2.5,94.0,0.020362053162236483
17,17,2013-04-18,3658,0.0,78.4,56.0,-3.3,29.0,0.020362053162236483
18,18,2013-04-19,3751,0.0,78.6,57.9,-3.8,82.0,0.020362053162236483
19,19,2013-04-20,3534,0.0,76.3,56.8,-3.3,47.0,0.020362053162236483
20,20,2013-04-21,3592,0.0,76.5,57.2,-4.3,36.0,0.020362053162236483
21,21,2013-04-22,3247,0.0,71.1,52.8,-2.5,99.0,0.020362053162236483
22,22,2013-04-23,3535,0.0,74.0,55.8,-3.4,21.0,0.020362053162236483
23,23,2013-04-24,3601,0.0,77.1,54.7,-3.7,32.0,0.020362053162236483
24,24,2013-04-25,3692,0.0,78.4,53.9,-3.2,6.0,0.020362053162236483
25,25,2013-04-26,3937,0.0,83.4,58.1,-3.2,144.0,0.020362053162236483
26,26,2013-04-27,3871,0.0,83.6,58.9,-2.5,45.0,0.020362053162236483
27,27,2013-04-28,3570,0.0,79.2,51.3,-1.7,227.0,0.020362053162236483
28,28,2013-04-29,3497,0.0,74.5,48.0,-4.5,0.0,0.020362053162236483
29,29,2013-04-30,3880,3.0,81.6,54.7,-2.5,254.0,0.020362053162236483
30,30,2013-01-05,4126,0.0,86.1,57.6,-1.4,164.0,0.020362053162236483
31,31,2013-02-05,3853,0.0,82.7,56.1,-5.0,0.0,0.020362053162236483
32,32,2013-03-05,3918,0.0,83.5,55.3,-4.0,125.0,0.020362053162236483
33,33,2013-04-05,3931,0.0,85.3,57.3,-3.3,81.0,0.020362053162236483
34,34,2013-05-05,3930,0.0,83.3,58.0,-2.7,67.0,0.020362053162236483
