,Unnamed: 0,Date (DD/MM/YYYY),Max.Demand met during the day (MW),Shortage during maximum Demand (MW),Energy Met (MU),"Drawal Schedule
(MU)",OD(+)/UD(-) (MU),Max OD (MW),Energy Shortage (MU)
0,0,1/4/13,2776,0.0,56.1,34.1,-0.7,158.0,0.011896926155260223
1,1,2/4/13,3034,0.0,61.0,34.1,0.9,256.0,0.02405501912110483
2,2,3/4/13,2991,0.0,62.1,33.1,-1.1,202.0,0.029888101571781858
3,3,4/4/13,3125,0.0,62.0,37.7,-2.7,206.0,0.02373957423155844
4,4,5/4/13,3160,0.0,63.0,42.0,-2.6,167.0,0.01707499119145227
5,5,6/4/13,3153,0.0,64.6,43.5,-2.7,93.0,0.017029572419812067
6,6,7/4/13,3055,0.0,62.6,40.3,-2.5,30.0,0.017829346138495364
7,7,8/4/13,2993,0.0,60.1,37.2,-1.8,47.0,0.017567784195538144
8,8,9/4/13,3328,60.0,68.4,37.2,-1.2,510.0,0.28356625335700625
9,9,10/4/13,3314,226.0,69.9,42.8,-0.5,254.0,0.9471456017031413
10,10,11/4/13,3513,0.0,72.7,46.7,-0.9,167.0,0.030207596273425966
11,11,12/4/13,3491,0.0,74.7,47.3,-0.9,149.0,0.032708786139995324
12,12,13/04/13,3511,221.0,73.1,46.0,-0.8,259.0,0.9298314456374795
13,13,14/04/13,3153,0.0,67.5,49.4,-8.6,0.0,0.017001552892004404
14,14,15/04/13,3180,0.0,68.6,49.4,-5.7,0.0,0.016392660712474486
15,15,16/04/13,3558,0.0,75.3,53.4,-3.7,308.0,0.0257352207524386
16,16,17/04/13,3646,0.0,78.6,54.6,-2.5,94.0,0.02926523694358049
17,17,18/04/13,3658,0.0,78.4,56.0,-3.3,29.0,0.026801045182512667
18,18,19/04/13,3751,0.0,78.6,57.9,-3.8,82.0,0.025251689104619196
19,19,20/04/13,3534,0.0,76.3,56.8,-3.3,47.0,0.01914196929810029
20,20,21/04/13,3592,0.0,76.5,57.2,-4.3,36.0,0.020610603805827618
21,21,22/04/13,3247,0.0,71.1,52.8,-2.5,99.0,0.012072863465774297
22,22,23/04/13,3535,0.0,74.0,55.8,-3.4,21.0,0.016550047240140323
23,23,24/04/13,3601,0.0,77.1,54.7,-3.7,32.0,0.02650743232769716
24,24,25/04/13,3692,0.0,78.4,53.9,-3.2,6.0,0.031479709312826815
25,25,26/04/13,3937,0.0,83.4,58.1,-3.2,144.0,0.03679963323193554
26,26,27/04/13,3871,0.0,83.6,58.9,-2.5,45.0,0.033548514643788926
27,27,28/04/13,3570,0.0,79.2,51.3,-1.7,227.0,0.03583104444585644
28,28,29/04/13,3497,0.0,74.5,48.0,-4.5,0.0,0.034510307795981535
29,29,30/04/13,3880,3.0,81.6,54.7,-2.5,254.0,0.05112639715536163
30,30,1/5/13,4126,0.0,86.1,57.6,-1.4,164.0,0.04406598234869863
31,31,2/5/13,3853,0.0,82.7,56.1,-5.0,0.0,0.0399615077030052
32,32,3/5/13,3918,0.0,83.5,55.3,-4.0,125.0,0.0434287633132588
33,33,4/5/13,3931,0.0,85.3,57.3,-3.3,81.0,0.04222098172217835
34,34,5/5/13,3930,0.0,83.3,58.0,-2.7,67.0,0.035919478795204574
35,35,6/5/13,4013,0.0,80.8,54.7,-2.7,171.0,0.03912943404501222
36,36,7/5/13,4325,0.0,90.8,60.6,-2.7,144.0,0.05162661807331341
37,37,8/5/13,4351,0.0,92.1,59.8,-1.1,353.0,0.055155713810889836
38,38,9/5/13,4488,0.0,93.0,66.0,-5.2,77.0,0.04973856451624649
39,39,10/5/13,4554,0.0,94.8,65.2,-1.1,282.0,0.052041480024887746
40,40,11/5/13,4547,4.0,96.6,68.3,-4.8,93.0,0.06899619189597352
41,41,12/5/13,4151,0.0,88.3,60.7,-2.8,297.0,0.04442125337113116
42,42,13/05/13,3775,3.0,79.7,59.8,-3.4,440.0,0.03666340312324769
43,43,14/05/13,4155,0.0,86.9,65.5,-3.3,132.0,0.03164734406258819
44,44,15/05/13,4361,0.0,89.8,66.0,-3.6,244.0,0.04009379917803162
45,45,16/05/13,4435,0.0,92.2,65.7,-3.8,122.0,0.04654893439212397
