Date,Max.Demand met during the day (MW)
2013-04-01,2776.0
2013-04-02,3034.0
2013-04-03,2991.0
2013-04-04,3125.0
2013-04-05,3160.0
2013-04-06,3153.0
2013-04-07,3055.0
2013-04-08,2993.0
2013-04-09,3328.0
2013-04-10,3314.0
2013-04-11,3513.0
2013-04-12,3491.0
2013-04-13,3511.0
2013-04-14,3153.0
2013-04-15,3180.0
2013-04-16,3558.0
2013-04-17,3646.0
2013-04-18,3658.0
2013-04-19,3751.0
2013-04-20,3534.0
2013-04-21,3592.0
2013-04-22,3247.0
2013-04-23,3535.0
2013-04-24,3601.0
2013-04-25,3692.0
2013-04-26,3937.0
2013-04-27,3871.0
2013-04-28,3570.0
2013-04-29,3497.0
2013-04-30,3880.0
2013-05-01,4126.0
2013-05-02,3853.0
2013-05-03,3918.0
2013-05-04,3931.0
2013-05-05,3930.0
2013-05-06,4013.0
2013-05-07,4325.0
2013-05-08,4351.0
2013-05-09,4488.0
2013-05-10,4554.0
2013-05-11,4547.0
2013-05-12,4151.0
2013-05-13,3775.0
2013-05-14,4155.0
2013-05-15,4361.0
2013-05-16,4435.0
2013-05-17,4521.0
2013-05-18,4578.0
2013-05-19,4381.0
2013-05-20,4384.0
2013-05-21,4713.0
2013-05-22,4892.0
2013-05-23,4895.0
2013-05-24,4996.0
2013-05-25,5173.0
2013-05-26,4906.0
2013-05-27,4739.0
2013-05-28,5198.0
2013-05-29,5001.0
2013-05-30,4981.0
2013-05-31,4901.5
2013-06-01,4822.0
2013-06-02,4490.0
2013-06-03,4510.0
2013-06-04,4760.0
2013-06-05,5010.0
2013-06-06,5161.0
2013-06-07,5567.0
2013-06-08,5091.0
2013-06-09,5052.0
2013-06-10,4908.0
2013-06-11,5139.0
2013-06-12,4838.0
2013-06-13,5045.0
2013-06-14,4698.0
2013-06-15,4640.0
2013-06-16,4367.0
2013-06-17,3591.0
2013-06-18,3637.0
2013-06-19,3852.0
2013-06-20,4118.0
2013-06-21,4581.0
2013-06-22,4812.0
2013-06-23,4791.0
2013-06-24,4900.0
2013-06-25,5364.0
2013-06-26,4999.0
2013-06-27,4867.0
2013-06-28,5048.0
2013-06-29,4942.5
2013-06-30,4837.0
2013-07-01,4721.0
2013-07-02,5070.0
2013-07-03,5338.0
2013-07-04,5077.0
2013-07-05,5197.0
2013-07-06,5181.0
2013-07-07,4743.0
2013-07-08,4648.0
2013-07-09,4958.0
2013-07-10,4786.0
2013-07-11,4488.0
2013-07-12,4760.0
2013-07-13,4580.0
2013-07-14,4571.0
