,Date,Max.Demand met during the day (MW)
0,2013-04-01,2776.0
1,2013-04-02,3034.0
2,2013-04-03,2991.0
3,2013-04-04,3125.0
4,2013-04-05,3160.0
5,2013-04-06,3153.0
6,2013-04-07,3055.0
7,2013-04-08,2993.0
8,2013-04-09,3328.0
9,2013-04-10,3314.0
10,2013-04-11,3513.0
11,2013-04-12,3491.0
12,2013-04-13,3511.0
13,2013-04-14,3153.0
14,2013-04-15,3180.0
15,2013-04-16,3558.0
16,2013-04-17,3646.0
17,2013-04-18,3658.0
18,2013-04-19,3751.0
19,2013-04-20,3534.0
20,2013-04-21,3592.0
21,2013-04-22,3247.0
22,2013-04-23,3535.0
23,2013-04-24,3601.0
24,2013-04-25,3692.0
25,2013-04-26,3937.0
26,2013-04-27,3871.0
27,2013-04-28,3570.0
28,2013-04-29,3497.0
29,2013-04-30,3880.0
30,2013-05-01,4126.0
31,2013-05-02,3853.0
32,2013-05-03,3918.0
33,2013-05-04,3931.0
34,2013-05-05,3930.0
35,2013-05-06,4013.0
36,2013-05-07,4325.0
37,2013-05-08,4351.0
38,2013-05-09,4488.0
39,2013-05-10,4554.0
40,2013-05-11,4547.0
41,2013-05-12,4151.0
42,2013-05-13,3775.0
43,2013-05-14,4155.0
44,2013-05-15,4361.0
45,2013-05-16,4435.0
46,2013-05-17,4521.0
47,2013-05-18,4578.0
48,2013-05-19,4381.0
49,2013-05-20,4384.0
50,2013-05-21,4713.0
51,2013-05-22,4892.0
52,2013-05-23,4895.0
53,2013-05-24,4996.0
54,2013-05-25,5173.0
55,2013-05-26,4906.0
56,2013-05-27,4739.0
57,2013-05-28,5198.0
58,2013-05-29,5001.0
59,2013-05-30,4981.0
60,2013-05-31,4981.0
61,2013-06-01,4822.0
62,2013-06-02,4490.0
63,2013-06-03,4510.0
64,2013-06-04,4510.0
65,2013-06-05,5010.0
66,2013-06-06,5161.0
67,2013-06-07,5567.0
68,2013-06-08,5091.0
69,2013-06-09,5052.0
70,2013-06-10,4908.0
71,2013-06-11,5139.0
72,2013-06-12,4838.0
73,2013-06-13,5045.0
74,2013-06-14,4698.0
75,2013-06-15,4640.0
76,2013-06-16,4367.0
77,2013-06-17,3591.0
78,2013-06-18,3637.0
79,2013-06-19,3852.0
80,2013-06-20,4118.0
81,2013-06-21,4581.0
82,2013-06-22,4812.0
83,2013-06-23,4791.0
84,2013-06-24,4900.0
85,2013-06-25,5364.0
86,2013-06-26,4999.0
87,2013-06-27,4867.0
88,2013-06-28,5048.0
89,2013-06-29,5048.0
90,2013-06-30,4837.0
91,2013-07-01,4721.0
92,2013-07-02,5070.0
93,2013-07-03,5338.0
94,2013-07-04,5077.0
95,2013-07-05,5197.0
96,2013-07-06,5181.0
97,2013-07-07,4743.0
98,2013-07-08,4648.0
99,2013-07-09,4958.0
100,2013-07-10,4786.0
101,2013-07-11,4488.0
102,2013-07-12,4760.0
103,2013-07-13,4580.0
104,2013-07-14,4571.0
105,2013-07-15,4396.0
106,2013-07-16,4948.0
107,2013-07-17,4796.0
108,2013-07-18,4974.0
109,2013-07-19,5053.0
110,2013-07-20,5020.0
111,2013-07-21,4318.0
112,2013-07-22,4251.0
113,2013-07-23,4323.0
114,2013-07-24,4683.0
115,2013-07-25,4949.0
116,2013-07-26,4561.0
117,2013-07-27,4606.0
118,2013-07-28,4606.0
119,2013-07-29,4675.0
120,2013-07-30,4932.0
121,2013-07-31,4828.0
122,2013-08-01,4508.0
123,2013-08-02,4646.0
124,2013-08-03,4783.0
125,2013-08-04,4709.0
126,2013-08-05,4853.0
127,2013-08-06,4649.0
128,2013-08-07,4197.0
129,2013-08-08,4218.0
130,2013-08-09,4160.0
131,2013-08-10,3665.0
132,2013-08-11,3881.0
133,2013-08-12,4075.0
134,2013-08-13,4405.0
135,2013-08-14,4341.0
136,2013-08-15,4341.0
137,2013-08-16,3756.0
138,2013-08-17,4090.0
139,2013-08-18,3783.0
140,2013-08-19,3772.0
141,2013-08-20,4081.0
142,2013-08-21,3811.0
143,2013-08-22,4167.0
144,2013-08-23,4154.0
145,2013-08-24,4447.0
146,2013-08-25,4542.0
147,2013-08-26,4500.0
148,2013-08-27,4930.0
149,2013-08-28,4859.0
150,2013-08-29,4859.0
151,2013-08-30,4859.0
152,2013-08-31,4426.0
153,2013-09-01,4229.0
154,2013-09-02,4415.0
155,2013-09-03,4691.0
156,2013-09-04,4690.0
157,2013-09-05,4574.0
158,2013-09-06,4637.0
159,2013-09-07,4644.0
160,2013-09-08,4531.0
161,2013-09-09,4251.0
162,2013-09-10,4373.0
163,2013-09-11,4659.0
164,2013-09-12,4788.0
165,2013-09-13,4685.0
166,2013-09-14,4750.0
167,2013-09-15,4750.0
168,2013-09-16,4504.0
169,2013-09-17,4461.0
170,2013-09-18,4374.0
171,2013-09-19,4430.0
172,2013-09-20,4556.0
173,2013-09-21,4556.0
174,2013-09-22,3982.0
175,2013-09-23,3953.0
176,2013-09-24,3953.0
177,2013-09-25,4544.0
178,2013-09-26,4348.0
179,2013-09-27,4310.0
180,2013-09-28,4449.0
181,2013-09-29,4197.0
182,2013-09-30,3901.0
183,2013-10-01,4079.0
184,2013-10-02,4136.0
185,2013-10-03,3570.0
186,2013-10-04,4111.0
187,2013-10-05,3743.0
188,2013-10-06,3829.0
189,2013-10-07,3758.0
190,2013-10-08,4053.0
191,2013-10-09,4199.0
192,2013-10-10,4226.0
193,2013-10-11,4274.0
194,2013-10-12,3677.0
195,2013-10-13,3690.0
196,2013-10-14,3053.0
197,2013-10-15,3917.0
198,2013-10-16,3917.0
199,2013-10-17,3803.0
200,2013-10-18,3930.0
201,2013-10-19,3957.0
202,2013-10-20,3664.0
203,2013-10-21,3312.0
204,2013-10-22,3635.0
205,2013-10-23,3552.0
206,2013-10-24,3618.0
207,2013-10-25,3688.0
208,2013-10-26,3653.0
209,2013-10-27,3382.0
210,2013-10-28,3149.0
211,2013-10-29,3404.0
212,2013-10-30,3600.0
213,2013-10-31,3515.0
214,2013-11-01,3543.0
215,2013-11-02,3546.0
216,2013-11-03,3246.0
217,2013-11-04,2926.0
218,2013-11-05,2807.0
219,2013-11-06,2959.0
220,2013-11-07,3205.0
221,2013-11-08,3184.0
222,2013-11-09,3088.0
223,2013-11-10,3008.0
224,2013-11-11,2851.0
225,2013-11-12,3177.0
226,2013-11-13,3120.0
227,2013-11-14,3100.0
