Date,Max.Demand met during the day (MW)
2013-04-02,258.0
2013-04-03,-43.0
2013-04-04,134.0
2013-04-05,35.0
2013-04-06,-7.0
2013-04-07,-98.0
2013-04-08,-62.0
2013-04-09,335.0
2013-04-10,-14.0
2013-04-11,199.0
2013-04-12,-22.0
2013-04-13,20.0
2013-04-14,-358.0
2013-04-15,27.0
2013-04-16,378.0
2013-04-17,88.0
2013-04-18,12.0
2013-04-19,93.0
2013-04-20,-217.0
2013-04-21,58.0
2013-04-22,-345.0
2013-04-23,288.0
2013-04-24,66.0
2013-04-25,91.0
2013-04-26,245.0
2013-04-27,-66.0
2013-04-28,-301.0
2013-04-29,-73.0
2013-04-30,383.0
2013-05-01,246.0
2013-05-02,-273.0
2013-05-03,65.0
2013-05-04,13.0
2013-05-05,-1.0
2013-05-06,83.0
2013-05-07,312.0
2013-05-08,26.0
2013-05-09,137.0
2013-05-10,66.0
2013-05-11,-7.0
2013-05-12,-396.0
2013-05-13,-376.0
2013-05-14,380.0
2013-05-15,206.0
2013-05-16,74.0
2013-05-17,86.0
2013-05-18,57.0
2013-05-19,-197.0
2013-05-20,3.0
2013-05-21,329.0
2013-05-22,179.0
2013-05-23,3.0
2013-05-24,101.0
2013-05-25,177.0
2013-05-26,-267.0
2013-05-27,-167.0
2013-05-28,459.0
2013-05-29,-197.0
2013-05-30,-20.0
2013-05-31,-624.417307692308
2013-06-01,465.417307692308
2013-06-02,-332.0
2013-06-03,20.0
2013-06-04,-153.417307692308
2013-06-05,653.417307692308
2013-06-06,151.0
2013-06-07,406.0
2013-06-08,-476.0
2013-06-09,-39.0
2013-06-10,-144.0
2013-06-11,231.0
2013-06-12,-301.0
2013-06-13,207.0
2013-06-14,-347.0
2013-06-15,-58.0
2013-06-16,-273.0
2013-06-17,-776.0
2013-06-18,46.0
2013-06-19,215.0
2013-06-20,266.0
2013-06-21,463.0
2013-06-22,231.0
2013-06-23,-21.0
2013-06-24,109.0
2013-06-25,464.0
2013-06-26,-365.0
2013-06-27,-132.0
2013-06-28,181.0
2013-06-29,-691.417307692308
2013-06-30,480.417307692308
2013-07-01,-116.0
2013-07-02,349.0
2013-07-03,268.0
2013-07-04,-261.0
2013-07-05,120.0
2013-07-06,-16.0
2013-07-07,-438.0
2013-07-08,-95.0
2013-07-09,310.0
2013-07-10,-172.0
2013-07-11,-298.0
2013-07-12,272.0
2013-07-13,-180.0
2013-07-14,-9.0
2013-07-15,-175.0
2013-07-16,552.0
2013-07-17,-152.0
2013-07-18,178.0
2013-07-19,79.0
2013-07-20,-33.0
2013-07-21,-702.0
2013-07-22,-67.0
2013-07-23,72.0
2013-07-24,360.0
2013-07-25,266.0
2013-07-26,-388.0
2013-07-27,45.0
2013-07-28,-249.417307692308
2013-07-29,318.417307692308
2013-07-30,257.0
2013-07-31,-104.0
2013-08-01,-320.0
2013-08-02,138.0
2013-08-03,137.0
2013-08-04,-74.0
2013-08-05,144.0
2013-08-06,-204.0
2013-08-07,-452.0
2013-08-08,21.0
2013-08-09,-58.0
2013-08-10,-495.0
2013-08-11,216.0
2013-08-12,194.0
2013-08-13,330.0
2013-08-14,-64.0
2013-08-15,15.582692307692014
2013-08-16,-600.582692307692
2013-08-17,334.0
2013-08-18,-307.0
2013-08-19,-11.0
2013-08-20,309.0
2013-08-21,-270.0
2013-08-22,356.0
2013-08-23,-13.0
2013-08-24,293.0
2013-08-25,95.0
2013-08-26,-42.0
2013-08-27,430.0
2013-08-28,-71.0
2013-08-29,-502.417307692308
2013-08-30,0.0
2013-08-31,69.41730769230799
2013-09-01,-197.0
2013-09-02,186.0
2013-09-03,276.0
2013-09-04,-1.0
2013-09-05,-116.0
2013-09-06,63.0
2013-09-07,7.0
2013-09-08,-113.0
2013-09-09,-280.0
2013-09-10,122.0
2013-09-11,286.0
2013-09-12,129.0
2013-09-13,-103.0
2013-09-14,65.0
2013-09-15,-393.417307692308
2013-09-16,147.417307692308
2013-09-17,-43.0
2013-09-18,-87.0
2013-09-19,56.0
2013-09-20,126.0
2013-09-21,-199.417307692308
2013-09-22,-374.582692307692
2013-09-23,-29.0
2013-09-24,403.582692307692
2013-09-25,187.417307692308
2013-09-26,-196.0
2013-09-27,-38.0
2013-09-28,139.0
2013-09-29,-252.0
2013-09-30,-296.0
2013-10-01,178.0
2013-10-02,57.0
2013-10-03,-566.0
2013-10-04,541.0
2013-10-05,-368.0
2013-10-06,86.0
2013-10-07,-71.0
2013-10-08,295.0
2013-10-09,146.0
2013-10-10,27.0
2013-10-11,48.0
2013-10-12,-597.0
2013-10-13,13.0
2013-10-14,-637.0
2013-10-15,864.0
2013-10-16,439.582692307692
2013-10-17,-553.582692307692
2013-10-18,127.0
2013-10-19,27.0
2013-10-20,-293.0
2013-10-21,-352.0
2013-10-22,323.0
2013-10-23,-83.0
2013-10-24,66.0
2013-10-25,70.0
2013-10-26,-35.0
2013-10-27,-271.0
2013-10-28,-233.0
2013-10-29,255.0
2013-10-30,196.0
2013-10-31,-85.0
2013-11-01,28.0
2013-11-02,3.0
2013-11-03,-300.0
2013-11-04,-320.0
2013-11-05,-119.0
2013-11-06,152.0
2013-11-07,246.0
2013-11-08,-21.0
2013-11-09,-96.0
2013-11-10,-80.0
2013-11-11,-157.0
2013-11-12,326.0
2013-11-13,-57.0
2013-11-14,-20.0
2013-11-15,61.0
2013-11-16,19.0
2013-11-17,-228.0
2013-11-18,64.0
2013-11-19,79.0
2013-11-20,0.0
2013-11-21,-30.0
2013-11-22,101.0
2013-11-23,-34.0
2013-11-24,-134.0
2013-11-25,-15.0
2013-11-26,65.0
2013-11-27,56.0
2013-11-28,-7.0
2013-11-29,81.0
2013-11-30,-48.0
2013-12-01,-136.0
2013-12-02,-3.0
2013-12-03,59.0
2013-12-04,48.0
2013-12-05,-307.0
2013-12-06,336.0
2013-12-07,81.0
2013-12-08,-122.0
2013-12-09,69.0
2013-12-10,-64.0
2013-12-11,6.0
2013-12-12,73.0
2013-12-13,30.0
2013-12-14,63.0
2013-12-15,-11.0
2013-12-16,-103.0
2013-12-17,95.0
2013-12-18,-20.0
2013-12-19,-332.0
2013-12-20,385.0
2013-12-21,104.0
2013-12-22,-60.0
2013-12-23,22.0
2013-12-24,156.0
2013-12-25,-157.0
2013-12-26,142.0
2013-12-27,8.0
2013-12-28,147.0
2013-12-29,-113.0
2013-12-30,-118.0
2013-12-31,257.0
2014-01-01,46.0
2014-01-02,100.0
2014-01-03,-28.0
2014-01-04,143.0
2014-01-05,-300.0
2014-01-06,-38.0
2014-01-07,183.0
2014-01-08,131.0
2014-01-09,-109.0
2014-01-10,19.0
2014-01-11,-146.0
2014-01-12,47.0
2014-01-13,-149.0
2014-01-14,223.0
2014-01-15,-78.0
2014-01-16,106.0
2014-01-17,-10.0
2014-01-18,97.0
2014-01-19,-333.0
2014-01-20,157.0
2014-01-21,71.0
2014-01-22,-131.0
2014-01-23,160.0
2014-01-24,-106.0
2014-01-25,151.0
2014-01-26,-157.0
2014-01-27,-448.0
2014-01-28,314.0
2014-01-29,-11.0
2014-01-30,-59.0
2014-01-31,-8.0
2014-02-01,220.0
2014-02-02,-129.0
2014-02-03,-2.0
2014-02-04,-183.0
2014-02-05,24.0
2014-02-06,-16.0
2014-02-07,-108.0
2014-02-08,132.0
2014-02-09,11.0
2014-02-10,-18.0
2014-02-11,13.0
2014-02-12,-59.0
2014-02-13,74.0
2014-02-14,-1.0
2014-02-15,86.0
2014-02-16,75.0
2014-02-17,-61.0
2014-02-18,56.0
2014-02-19,-94.0
2014-02-20,39.0
2014-02-21,-106.0
2014-02-22,107.0
2014-02-23,-211.0
2014-02-24,19.0
2014-02-25,92.0
2014-02-26,-225.0
2014-02-27,42.0
2014-02-28,83.0
2014-03-01,-72.0
2014-03-02,-25.0
2014-03-03,-231.0
2014-03-04,333.0
2014-03-05,-19.0
2014-03-06,-62.0
2014-03-07,-89.0
2014-03-08,98.0
2014-03-09,-252.0
2014-03-10,-38.0
2014-03-11,23.0
2014-03-12,182.0
2014-03-13,-35.0
2014-03-14,-17.0
2014-03-15,139.0
2014-03-16,-305.0
2014-03-17,-142.0
2014-03-18,-585.0
2014-03-19,459.0
2014-03-20,276.0
2014-03-21,-5.0
2014-03-22,102.0
2014-03-23,-66.0
2014-03-24,-253.0
2014-03-25,299.0
2014-03-26,-9.0
2014-03-27,70.0
2014-03-28,-52.0
2014-03-29,79.0
2014-03-30,-87.0
2014-03-31,-253.0
2014-04-01,244.0
2014-04-02,38.0
2014-04-03,70.0
2014-04-04,47.0
2014-04-05,83.0
2014-04-06,-139.0
2014-04-07,-13.0
2014-04-08,213.0
2014-04-09,-184.0
2014-04-10,91.0
2014-04-11,-551.0
2014-04-12,651.0
2014-04-13,-12.0
2014-04-14,-298.0
2014-04-15,304.0
2014-04-16,239.0
2014-04-17,-76.0
2014-04-18,-28.0
2014-04-19,-205.0
2014-04-20,-54.0
2014-04-21,-96.0
2014-04-22,335.0
2014-04-23,51.0
2014-04-24,10.0
2014-04-25,178.0
2014-04-26,128.0
2014-04-27,-124.0
2014-04-28,-125.0
2014-04-29,435.0
2014-04-30,78.0
2014-05-01,262.0
2014-05-02,-7.0
2014-05-03,223.0
2014-05-04,-319.0
2014-05-05,77.0
2014-05-06,72.0
2014-05-07,-54.0
2014-05-08,190.0
2014-05-09,133.0
2014-05-10,-320.0
2014-05-11,-333.0
2014-05-12,-80.0
2014-05-13,10.0
2014-05-14,-165.0
2014-05-15,-212.0
2014-05-16,266.0
2014-05-17,257.0
2014-05-18,-107.0
2014-05-19,53.0
2014-05-20,178.0
2014-05-21,125.0
2014-05-22,114.0
2014-05-23,185.0
2014-05-24,147.0
2014-05-25,-377.0
2014-05-26,-422.0
2014-05-27,378.0
2014-05-28,208.0
2014-05-29,239.0
2014-05-30,100.0
2014-05-31,385.0
2014-06-01,-1038.0
2014-06-02,-48.0
2014-06-03,359.0
2014-06-04,210.0
2014-06-05,166.0
2014-06-06,353.0
2014-06-07,-161.0
2014-06-08,-136.0
2014-06-09,-218.0
2014-06-10,259.0
2014-06-11,192.0
2014-06-12,68.0
2014-06-13,-124.0
2014-06-14,-458.0
2014-06-15,-401.0
2014-06-16,135.0
2014-06-17,684.0
2014-06-18,227.0
2014-06-19,58.0
2014-06-20,-14.0
2014-06-21,56.0
2014-06-22,-344.0
2014-06-23,-117.0
2014-06-24,96.0
2014-06-25,69.0
2014-06-26,-191.0
2014-06-27,209.0
2014-06-28,86.0
2014-06-29,-165.0
2014-06-30,-182.0
2014-07-01,322.0
2014-07-02,-97.0
2014-07-03,-382.0
2014-07-04,-236.0
2014-07-05,479.0
2014-07-06,-34.0
2014-07-07,-273.0
2014-07-08,522.0
2014-07-09,159.0
2014-07-10,167.0
2014-07-11,171.0
2014-07-12,29.0
2014-07-13,-257.0
2014-07-14,-203.0
2014-07-15,337.0
2014-07-16,197.0
2014-07-17,-242.0
2014-07-18,-199.0
2014-07-19,-840.0
2014-07-20,72.0
2014-07-21,175.0
2014-07-22,490.0
2014-07-23,-92.0
2014-07-24,-228.0
2014-07-25,-92.0
2014-07-26,-55.0
2014-07-27,191.0
2014-07-28,-81.0
2014-07-29,-71.0
2014-07-30,-379.0
2014-07-31,440.0
2014-08-01,218.0
2014-08-02,121.0
2014-08-03,-356.0
2014-08-04,-113.0
2014-08-05,295.0
2014-08-06,-170.0
2014-08-07,138.0
2014-08-08,-113.0
2014-08-09,-78.0
2014-08-10,-111.0
2014-08-11,-296.0
2014-08-12,292.0
2014-08-13,403.0
2014-08-14,50.0
2014-08-15,-69.0
2014-08-16,-710.0
2014-08-17,179.0
2014-08-18,-83.0
2014-08-19,365.0
2014-08-20,225.0
2014-08-21,117.0
2014-08-22,-95.0
2014-08-23,151.0
2014-08-24,-52.0
2014-08-25,-39.0
2014-08-26,211.0
2014-08-27,-67.0
2014-08-28,109.0
2014-08-29,-350.0
2014-08-30,-170.0
2014-08-31,-342.0
2014-09-01,-346.0
2014-09-02,192.0
2014-09-03,-45.0
2014-09-04,-19.0
2014-09-05,-36.0
2014-09-06,-53.0
2014-09-07,-288.0
2014-09-08,318.0
2014-09-09,295.0
2014-09-10,159.0
2014-09-11,-172.0
2014-09-12,-399.0
2014-09-13,-57.0
2014-09-14,87.0
2014-09-15,-334.0
2014-09-16,571.0
2014-09-17,-30.0
2014-09-18,276.0
2014-09-19,125.0
2014-09-20,-85.0
2014-09-21,-75.0
2014-09-22,-160.0
2014-09-23,235.0
2014-09-24,-221.0
2014-09-25,38.0
2014-09-26,-95.0
2014-09-27,11.0
2014-09-28,-140.0
2014-09-29,8.0
2014-09-30,104.0
2014-10-01,53.0
2014-10-02,-70.0
2014-10-03,-331.0
2014-10-04,-92.0
2014-10-05,292.0
2014-10-06,-57.0
2014-10-07,189.0
2014-10-08,87.0
2014-10-09,-215.0
2014-10-10,-157.0
2014-10-11,-119.0
2014-10-12,-205.0
2014-10-13,-314.0
2014-10-14,339.0
2014-10-15,-143.0
2014-10-16,20.0
2014-10-17,-151.0
2014-10-18,33.0
2014-10-19,-264.0
2014-10-20,-222.0
2014-10-21,468.0
2014-10-22,81.0
2014-10-23,-130.0
2014-10-24,-322.0
