Date,Max.Demand met during the day (MW)
2013-04-03,-301.0
2013-04-04,177.0
2013-04-05,-99.0
2013-04-06,-42.0
2013-04-07,-91.0
2013-04-08,36.0
2013-04-09,397.0
2013-04-10,-349.0
2013-04-11,213.0
2013-04-12,-221.0
2013-04-13,42.0
2013-04-14,-378.0
2013-04-15,385.0
2013-04-16,351.0
2013-04-17,-290.0
2013-04-18,-76.0
2013-04-19,81.0
2013-04-20,-310.0
2013-04-21,275.0
2013-04-22,-403.0
2013-04-23,633.0
2013-04-24,-222.0
2013-04-25,25.0
2013-04-26,154.0
2013-04-27,-311.0
2013-04-28,-235.0
2013-04-29,228.0
2013-04-30,456.0
2013-05-01,-137.0
2013-05-02,-519.0
2013-05-03,338.0
2013-05-04,-52.0
2013-05-05,-14.0
2013-05-06,84.0
2013-05-07,229.0
2013-05-08,-286.0
2013-05-09,111.0
2013-05-10,-71.0
2013-05-11,-73.0
2013-05-12,-389.0
2013-05-13,20.0
2013-05-14,756.0
2013-05-15,-174.0
2013-05-16,-132.0
2013-05-17,12.0
2013-05-18,-29.0
2013-05-19,-254.0
2013-05-20,200.0
2013-05-21,326.0
2013-05-22,-150.0
2013-05-23,-176.0
2013-05-24,98.0
2013-05-25,76.0
2013-05-26,-444.0
2013-05-27,100.0
2013-05-28,626.0
2013-05-29,-656.0
2013-05-30,177.0
2013-05-31,-779.0
2013-06-01,1439.0
2013-06-02,-972.0
2013-06-03,352.0
2013-06-04,-348.0
2013-06-05,1156.0
2013-06-06,-677.0
2013-06-07,255.0
2013-06-08,-882.0
2013-06-09,437.0
2013-06-10,-105.0
2013-06-11,375.0
2013-06-12,-532.0
2013-06-13,508.0
2013-06-14,-554.0
2013-06-15,289.0
2013-06-16,-215.0
2013-06-17,-503.0
2013-06-18,822.0
2013-06-19,169.0
2013-06-20,51.0
2013-06-21,197.0
2013-06-22,-232.0
2013-06-23,-252.0
2013-06-24,130.0
2013-06-25,355.0
2013-06-26,-829.0
2013-06-27,233.0
2013-06-28,313.0
2013-06-29,-1047.0
2013-06-30,1521.0
2013-07-01,-771.0
2013-07-02,465.0
2013-07-03,-81.0
2013-07-04,-529.0
2013-07-05,381.0
2013-07-06,-136.0
2013-07-07,-422.0
2013-07-08,343.0
2013-07-09,405.0
2013-07-10,-482.0
2013-07-11,-126.0
2013-07-12,570.0
2013-07-13,-452.0
2013-07-14,171.0
2013-07-15,-166.0
2013-07-16,727.0
2013-07-17,-704.0
2013-07-18,330.0
2013-07-19,-99.0
2013-07-20,-112.0
2013-07-21,-669.0
2013-07-22,635.0
2013-07-23,139.0
2013-07-24,288.0
2013-07-25,-94.0
2013-07-26,-654.0
2013-07-27,433.0
2013-07-28,-469.0
2013-07-29,917.0
2013-07-30,-236.0
2013-07-31,-361.0
2013-08-01,-216.0
2013-08-02,458.0
2013-08-03,-1.0
2013-08-04,-211.0
2013-08-05,218.0
2013-08-06,-348.0
2013-08-07,-248.0
2013-08-08,473.0
2013-08-09,-79.0
2013-08-10,-437.0
2013-08-11,711.0
2013-08-12,-22.0
2013-08-13,136.0
2013-08-14,-394.0
2013-08-15,-95.0
2013-08-16,-267.0
2013-08-17,760.0
2013-08-18,-641.0
2013-08-19,296.0
2013-08-20,320.0
2013-08-21,-579.0
2013-08-22,626.0
2013-08-23,-369.0
2013-08-24,306.0
2013-08-25,-198.0
2013-08-26,-137.0
2013-08-27,472.0
2013-08-28,-501.0
2013-08-29,-606.0
2013-08-30,677.0
2013-08-31,244.0
2013-09-01,-441.0
2013-09-02,383.0
2013-09-03,90.0
2013-09-04,-277.0
2013-09-05,-115.0
2013-09-06,179.0
2013-09-07,-56.0
2013-09-08,-120.0
2013-09-09,-167.0
2013-09-10,402.0
2013-09-11,164.0
2013-09-12,-157.0
2013-09-13,-232.0
2013-09-14,168.0
2013-09-15,-633.0
2013-09-16,890.0
2013-09-17,-365.0
2013-09-18,-44.0
2013-09-19,143.0
2013-09-20,70.0
2013-09-21,-500.0
2013-09-22,174.0
2013-09-23,171.0
2013-09-24,258.0
2013-09-25,133.0
2013-09-26,-558.0
2013-09-27,158.0
2013-09-28,177.0
2013-09-29,-391.0
2013-09-30,-44.0
2013-10-01,474.0
2013-10-02,-121.0
2013-10-03,-623.0
2013-10-04,1107.0
2013-10-05,-909.0
2013-10-06,454.0
2013-10-07,-157.0
2013-10-08,366.0
2013-10-09,-149.0
2013-10-10,-119.0
2013-10-11,21.0
2013-10-12,-645.0
2013-10-13,610.0
2013-10-14,-650.0
2013-10-15,1501.0
2013-10-16,-599.0
2013-10-17,-644.0
2013-10-18,506.0
2013-10-19,-100.0
2013-10-20,-320.0
2013-10-21,-59.0
2013-10-22,675.0
2013-10-23,-406.0
2013-10-24,149.0
2013-10-25,4.0
2013-10-26,-105.0
2013-10-27,-236.0
2013-10-28,38.0
2013-10-29,488.0
2013-10-30,-59.0
2013-10-31,-281.0
2013-11-01,113.0
2013-11-02,-25.0
2013-11-03,-303.0
2013-11-04,-20.0
2013-11-05,201.0
2013-11-06,271.0
2013-11-07,94.0
2013-11-08,-267.0
2013-11-09,-75.0
2013-11-10,16.0
2013-11-11,-77.0
2013-11-12,483.0
2013-11-13,-383.0
2013-11-14,37.0
2013-11-15,81.0
2013-11-16,-42.0
2013-11-17,-247.0
2013-11-18,292.0
2013-11-19,15.0
2013-11-20,-79.0
2013-11-21,-30.0
2013-11-22,131.0
2013-11-23,-135.0
2013-11-24,-100.0
2013-11-25,119.0
2013-11-26,80.0
2013-11-27,-9.0
2013-11-28,-63.0
2013-11-29,88.0
2013-11-30,-129.0
2013-12-01,-88.0
2013-12-02,133.0
2013-12-03,62.0
2013-12-04,-11.0
2013-12-05,-355.0
2013-12-06,643.0
2013-12-07,-255.0
2013-12-08,-203.0
2013-12-09,191.0
2013-12-10,-133.0
2013-12-11,70.0
2013-12-12,67.0
2013-12-13,-43.0
2013-12-14,33.0
2013-12-15,-74.0
2013-12-16,-92.0
2013-12-17,198.0
2013-12-18,-115.0
2013-12-19,-312.0
2013-12-20,717.0
2013-12-21,-281.0
2013-12-22,-164.0
2013-12-23,82.0
2013-12-24,134.0
2013-12-25,-313.0
2013-12-26,299.0
2013-12-27,-134.0
2013-12-28,139.0
2013-12-29,-260.0
2013-12-30,-5.0
2013-12-31,375.0
2014-01-01,-211.0
2014-01-02,54.0
2014-01-03,-128.0
2014-01-04,171.0
2014-01-05,-443.0
2014-01-06,262.0
2014-01-07,221.0
2014-01-08,-52.0
2014-01-09,-240.0
2014-01-10,128.0
2014-01-11,-165.0
2014-01-12,193.0
2014-01-13,-196.0
2014-01-14,372.0
2014-01-15,-301.0
2014-01-16,184.0
2014-01-17,-116.0
2014-01-18,107.0
2014-01-19,-430.0
2014-01-20,490.0
2014-01-21,-86.0
2014-01-22,-202.0
2014-01-23,291.0
