,Unnamed: 0,Date,Max.Demand met during the day (MW)
0,0,2013-04-01,2776.0
1,1,2013-04-02,3034.0
2,2,2013-04-03,2991.0
3,3,2013-04-04,3125.0
4,4,2013-04-05,3160.0
5,5,2013-04-06,3153.0
6,6,2013-04-07,3055.0
7,7,2013-04-08,2993.0
8,8,2013-04-09,3328.0
9,9,2013-04-10,3314.0
10,10,2013-04-11,3513.0
11,11,2013-04-12,3491.0
12,12,2013-04-13,3511.0
13,13,2013-04-14,3153.0
14,14,2013-04-15,3180.0
15,15,2013-04-16,3558.0
16,16,2013-04-17,3646.0
17,17,2013-04-18,3658.0
18,18,2013-04-19,3751.0
19,19,2013-04-20,3534.0
20,20,2013-04-21,3592.0
21,21,2013-04-22,3247.0
22,22,2013-04-23,3535.0
23,23,2013-04-24,3601.0
24,24,2013-04-25,3692.0
25,25,2013-04-26,3937.0
26,26,2013-04-27,3871.0
27,27,2013-04-28,3570.0
28,28,2013-04-29,3497.0
29,29,2013-04-30,3880.0
30,30,2013-05-01,4126.0
31,31,2013-05-02,3853.0
32,32,2013-05-03,3918.0
33,33,2013-05-04,3931.0
34,34,2013-05-05,3930.0
35,35,2013-05-06,4013.0
36,36,2013-05-07,4325.0
37,37,2013-05-08,4351.0
38,38,2013-05-09,4488.0
39,39,2013-05-10,4554.0
40,40,2013-05-11,4547.0
41,41,2013-05-12,4151.0
42,42,2013-05-13,3775.0
43,43,2013-05-14,4155.0
44,44,2013-05-15,4361.0
45,45,2013-05-16,4435.0
46,46,2013-05-17,4521.0
47,47,2013-05-18,4578.0
48,48,2013-05-19,4381.0
49,49,2013-05-20,4384.0
50,50,2013-05-21,4713.0
51,51,2013-05-22,4892.0
52,52,2013-05-23,4895.0
53,53,2013-05-24,4996.0
54,54,2013-05-25,5173.0
55,55,2013-05-26,4906.0
56,56,2013-05-27,4739.0
57,57,2013-05-28,5198.0
58,58,2013-05-29,5001.0
59,59,2013-05-30,4981.0
60,60,2013-05-31,3309.0
61,61,2013-06-01,4822.0
62,62,2013-06-02,4490.0
63,63,2013-06-03,4510.0
64,64,2013-06-04,3309.0
65,65,2013-06-05,5010.0
66,66,2013-06-06,5161.0
67,67,2013-06-07,5567.0
68,68,2013-06-08,5091.0
69,69,2013-06-09,5052.0
70,70,2013-06-10,4908.0
71,71,2013-06-11,5139.0
72,72,2013-06-12,4838.0
73,73,2013-06-13,5045.0
74,74,2013-06-14,4698.0
75,75,2013-06-15,4640.0
76,76,2013-06-16,4367.0
77,77,2013-06-17,3591.0
78,78,2013-06-18,3637.0
79,79,2013-06-19,3852.0
80,80,2013-06-20,4118.0
81,81,2013-06-21,4581.0
82,82,2013-06-22,4812.0
83,83,2013-06-23,4791.0
84,84,2013-06-24,4900.0
