,p,q,AIC,BIC
0,0,0,61774.88370613726,61787.32289704562
1,0,1,57824.48817918894,57843.146965551474
2,0,2,55623.71810763779,55648.596489454496
3,0,3,54620.899919213465,54651.997896484354
4,0,4,53758.12460503064,53795.44217775571
5,0,5,53141.75144179554,53185.28860997478
6,0,6,53067.81648919405,53117.57325282746
7,0,7,52829.486616502334,52885.46297558993
8,0,8,52655.16126527518,52717.35721981695
9,0,9,52450.27997339472,52518.69552339066
10,1,0,51877.81574225974,51896.474528622275
11,1,1,51878.96824633887,51903.846628155574
12,1,2,51812.92258357296,51844.02056084385
13,1,3,51759.75066666314,51797.0682393882
14,1,4,51746.55177446774,51790.08894264698
15,1,5,51718.91866474814,51768.67542838155
16,1,6,51719.48255382784,51775.458912915434
17,1,7,51586.1460739965,51648.34202853827
18,1,8,51581.87287274307,51650.28842273902
19,1,9,51581.99224908465,51656.62739453478
20,2,0,51879.16754681776,51904.04592863447
21,2,1,51865.21050297509,51896.30848024598
22,2,2,51740.50629414713,51777.8238668722
23,2,3,51740.06981581118,51783.606983990416
24,2,4,51736.82371488881,51786.58047852222
25,2,5,51720.5764816309,51776.5528407185
26,2,6,51662.56885238622,51724.76480692799
27,2,7,51583.593395494776,51652.00894549072
28,2,8,51582.52915346301,51657.164298913136
29,2,9,51583.9851516138,51664.8398925181
30,3,0,51834.27450195189,51865.37247922278
31,3,1,51736.67300152251,51773.990574247575
32,3,2,51659.83882822443,51703.375996403665
33,3,3,51728.43779430584,51778.194557939256
34,3,4,51641.80551442928,51697.78187351688
35,3,5,51562.76005492854,51624.95600947031
36,3,6,51516.21829648187,51584.63384647782
37,3,7,51581.85883040051,51656.49397585064
38,3,8,51583.55965087814,51664.41439178244
39,3,9,51477.58767955033,51564.662015908805
40,4,0,51812.62277277864,51849.9403455037
41,4,1,51735.43035380652,51778.96752198576
42,4,2,51659.656612099425,51709.41337573284
43,4,3,51604.4753193185,51660.4516784061
44,4,4,51622.91421573105,51685.11017027282
45,4,5,51516.48796441806,51584.90351441401
46,4,6,51518.3064282126,51592.94157366273
47,4,7,51583.09829267289,51663.95303357719
48,4,8,51583.07901491407,51670.153351272544
49,4,9,51484.4525297755,51577.74646158816
50,5,0,51778.795137317815,51822.33230549705
51,5,1,51721.5122196986,51771.26898333201
52,5,2,51727.637997146274,51783.61435623387
53,5,3,51667.14950333418,51729.34545787595
54,5,4,51518.16858772591,51586.58413772185
55,5,5,51481.57644906243,51556.211594512555
56,5,6,51499.822548477954,51580.677289382256
57,5,7,51512.65695837297,51599.73129473145
58,5,8,51468.721725195115,51562.015657007774
59,5,9,51437.04635646987,51536.55988373671
60,6,0,51689.474860572256,51739.23162420567
61,6,1,51683.0694427093,51739.04580179689
62,6,2,51624.24202261353,51686.4379771553
63,6,3,51474.527420271144,51542.94297026709
64,6,4,51492.90924762965,51567.54439307978
65,6,5,51510.33953528981,51591.19427619411
66,6,6,51470.83506087655,51557.909397235024
67,6,7,51464.24456274233,51557.53849455499
68,6,8,51364.19428081099,51463.70780807782
69,6,9,51357.96618854567,51463.69931126668
70,7,0,51666.60060196345,51722.57696105105
71,7,1,51594.366672335454,51656.562626877225
72,7,2,51565.50564315111,51633.921193147056
73,7,3,51514.69983012408,51589.33497557421
74,7,4,51457.438768504035,51538.29350940834
75,7,5,51431.36353515434,51518.43787151282
76,7,6,51413.22361886801,51506.51755068067
77,7,7,51392.18697070255,51491.70049796938
78,7,8,51364.6984703361,51470.43159305711
79,7,9,51351.236365586665,51463.189083761856
80,8,0,51563.923528416875,51626.119482958646
81,8,1,51551.47605918236,51619.8916091783
82,8,2,51549.521408251094,51624.15655370122
83,8,3,51506.95755320271,51587.81229410701
84,8,4,51452.38395869091,51539.45829504939
85,8,5,51403.18019801279,51496.47412982545
86,8,6,51395.5224864308,51495.03601369763
87,8,7,51355.380319735734,51461.11344245674
88,8,8,51250.518689226185,51362.471407401375
89,8,9,51335.12955781523,51453.30187144459
90,9,0,51544.36766870337,51612.78321869932
91,9,1,51536.087768679055,51610.72291412918
92,9,2,51509.304540016565,51590.15928092087
93,9,3,51492.91343551036,51579.98777186884
94,9,4,51462.7236319275,51556.01756374016
95,9,5,51418.13442551627,51517.6479527831
96,9,6,51365.76850846477,51471.501631185776
97,9,7,51270.07185374822,51382.02457192341
98,9,8,51262.54663602421,51380.71894965358
99,9,9,51278.783792219685,51403.175701303226
