,i,j,AIC,BIC
0,0,0,72323.36634656576,72329.57755792755
1,0,1,67942.3273958283,67954.74981855188
2,0,2,64783.44051299847,64802.074147083855
3,0,3,66966.3750159074,66991.21986135456
4,0,4,61397.86702844692,61428.92308525588
5,0,5,64257.17076223131,64294.43803040207
6,0,6,63994.39777874451,64037.876258277065
7,1,0,56211.28035733157,56223.70278005515
8,1,1,55984.21533287265,56002.84896695803
9,1,2,55974.2115842989,55999.05642974607
10,1,3,55934.3462842263,55965.40234103527
11,1,4,55897.36120591422,55934.62847408497
12,1,5,55898.95423559788,55942.43271513043
13,1,6,55899.71252754925,55949.402218443596
14,2,0,55982.59746942941,56001.231103514794
15,2,1,55979.13225915809,56003.97710460526
16,2,2,55937.21163608855,55968.26769289751
17,2,3,55912.59363809849,55949.86090626925
18,2,4,55899.57825339021,55943.05673292276
19,2,5,55901.53805659242,55951.227747486766
20,2,6,55902.22632916562,55958.12723142176
21,3,0,55976.41214039462,56001.25698584179
22,3,1,55977.25531577353,56008.311372582495
23,3,2,55903.382158811175,55940.64942698193
24,3,3,55905.182424149185,55948.66090368174
25,3,4,55896.95017727487,55946.639868169215
26,3,5,55900.15777108498,55956.05867334112
27,3,6,55901.976908991404,55964.08902260933
28,4,0,55971.74080251729,56002.796859326256
29,4,1,55947.06897253264,55984.33624070339
30,4,2,55904.987015679435,55948.46549521199
31,4,3,55901.32770103458,55951.01739192892
32,4,4,55898.29045250299,55954.191354759125
33,4,5,55899.88217857242,55961.99429219035
34,4,6,55901.61289102018,55969.93621599991
35,5,0,55914.15076083134,55951.418029002096
36,5,1,55912.59045979504,55956.0689393276
37,5,2,55905.1514943214,55954.841185215744
38,5,3,55899.547822171364,55955.4487244275
39,5,4,55901.56399515442,55963.67610877235
40,5,5,55779.54778349592,55847.87110847564
41,5,6,55773.67169077696,55848.20622711848
42,6,0,55912.79559177409,55956.274071306645
43,6,1,55914.386694704284,55964.07638559863
44,6,2,55853.6602271967,55909.561129452835
45,6,3,55773.40335619821,55835.515469816135
46,6,4,55835.72922791801,55904.05255289774
47,6,5,55838.249983764894,55912.78452010641
