,p,q,AIC,BIC
0,0,0,61722.342173238605,61734.78136414696
1,0,1,58087.23184256088,58105.890628923415
2,0,2,56060.37860636134,56085.25698817805
3,0,3,55183.3106358365,55214.408613107385
4,0,4,54320.89434842991,54358.21192115497
5,0,5,53835.480442624044,53879.01761080328
6,0,6,53749.421022473216,53799.17778610663
7,0,7,53554.182469333595,53610.15882842119
8,0,8,53362.57024022502,53424.76619476679
9,0,9,53195.28998018664,53263.70553018259
10,1,0,52629.63564476825,52648.29443113078
11,1,1,52583.14119479986,52608.01957661656
12,1,2,52531.12698352891,52562.2249607998
13,1,3,52471.628895075184,52508.94646780025
14,1,4,52458.253992320155,52501.79116049939
15,1,5,52432.50646141249,52482.26322504591
16,1,6,52432.192742246894,52488.16910133449
17,1,7,52348.19353879504,52410.38949333681
18,1,8,52348.80640762062,52417.221957616566
19,1,9,52348.44857669511,52423.08372214524
20,2,0,52592.5235085235,52617.40189034021
21,2,1,52461.51326052517,52492.61123779606
22,2,2,52458.693506380616,52496.01107910568
23,2,3,52579.07650507397,52622.61367325321
24,2,4,52451.01227559248,52500.769039225896
25,2,5,52434.04157869669,52490.01793778428
26,2,6,52411.83472378936,52474.03067833113
27,2,7,52348.98479844621,52417.40034844216
28,2,8,52349.20279801695,52423.83794346708
29,2,9,52350.524332191526,52431.37907309583
30,3,0,52567.2134137705,52598.31139104139
31,3,1,52457.746039905425,52495.06361263049
32,3,2,52462.54345063328,52506.08061881252
33,3,3,52432.67750778835,52482.43427142176
34,3,4,52368.411517698754,52424.38787678635
35,3,5,52324.337682360914,52386.533636902685
36,3,6,52307.46109408297,52375.87664407892
37,3,7,52347.04735070364,52421.68249615376
38,3,8,52349.74879694304,52430.603537847346
39,3,9,52304.733123602215,52391.80745996069
40,4,0,52535.68284402219,52573.00041674725
41,4,1,52447.95889695577,52491.49606513501
42,4,2,52461.76434615266,52511.521109786074
43,4,3,52333.93632071531,52389.9126798029
44,4,4,52338.32100563728,52400.51696017905
45,4,5,52285.21032029495,52353.625870290896
46,4,6,52300.82471717333,52375.45986262345
47,4,7,52312.03042873003,52392.88516963433
48,4,8,52349.208189861965,52436.28252622044
49,4,9,52232.42606362004,52325.7199954327
50,5,0,52503.28362262881,52546.82079080805
51,5,1,52438.053296538346,52487.81006017176
52,5,2,52514.94257964805,52570.918938735645
53,5,3,52391.51044632646,52453.70640086823
54,5,4,52326.76477836858,52395.18032836453
55,5,5,52268.403839023835,52343.03898447396
56,5,6,52288.66506623429,52369.51980713859
57,5,7,52291.681476772836,52378.75581313131
58,5,8,52211.52044884798,52304.81438066064
59,5,9,52196.319186596294,52295.83271386313
60,6,0,52416.94390521702,52466.70066885043
61,6,1,52404.91137613729,52460.88773522488
62,6,2,52371.66723827949,52433.86319282126
63,6,3,52271.76126357909,52340.17681357503
64,6,4,52282.47255581144,52357.10770126157
65,6,5,52250.30503322311,52331.15977412741
66,6,6,52263.95970039681,52351.034036755285
67,6,7,52257.63472602595,52350.92865783861
68,6,8,52179.29833763771,52278.81186490454
69,6,9,52189.49508148656,52295.22820420757
70,7,0,52384.60521250876,52440.581571596354
71,7,1,52353.382557341,52415.57851188277
72,7,2,52299.6583668887,52368.07391688465
73,7,3,52295.876525619446,52370.51167106957
74,7,4,52261.79770035515,52342.65244125945
75,7,5,52260.194920554306,52347.26925691278
76,7,6,52269.19279524141,52362.48672705407
77,7,7,52235.26736959444,52334.78089686127
78,7,8,52182.52416242962,52288.25728515063
79,7,9,52190.24638669526,52302.19910487045
80,8,0,52334.98813925487,52397.18409379664
81,8,1,52335.85592630878,52404.271476304726
82,8,2,52271.781526925464,52346.41667237559
83,8,3,52261.32745644948,52342.18219735378
84,8,4,52249.883625546005,52336.95796190448
85,8,5,52264.1088491211,52357.40278093376
86,8,6,52234.23371287208,52333.74724013892
87,8,7,52191.091061964325,52296.824184685334
88,8,8,52117.64294885238,52229.59566702757
89,8,9,52117.48755502852,52235.65986865789
90,9,0,52334.86729972811,52403.282849724055
91,9,1,52327.61221142693,52402.24735687705
92,9,2,52261.32381368847,52342.17855459277
93,9,3,52256.7215535805,52343.79588993898
94,9,4,52257.35392449495,52350.64785630761
95,9,5,52270.05840675827,52369.5719340251
96,9,6,52219.78179530076,52325.51491802177
97,9,7,52159.00411317395,52270.95683134915
98,9,8,52092.65482129886,52210.82713492822
99,9,9,52136.9262663302,52261.31817541374
