,P,Q,AIC,BIC
0,0,0,72332.29934325321,72338.510554615
1,0,1,67983.99643107486,67996.41885379844
2,0,2,64844.149844945976,64862.78347903136
3,0,3,63023.40824613201,63048.25309157918
4,0,4,61513.47029201523,61544.52634882419
5,0,5,62056.71326615936,62093.98053433011
6,0,6,59847.69224760053,59891.17072713308
7,1,0,56415.74451332782,56428.166936051406
8,1,1,56160.5840287147,56179.21766280008
9,1,2,56149.23347483005,56174.07832027722
10,1,3,56120.98171811732,56152.037774926284
11,1,4,56087.07645784049,56124.34372601125
12,1,5,56088.79774359967,56132.27622313223
13,1,6,56089.21669300952,56138.906383903864
14,2,0,56158.318472402505,56176.952106487886
15,2,1,56154.16416078637,56179.009006233544
16,2,2,56118.92388481924,56149.979941628204
17,2,3,56101.10576218677,56138.37303035753
18,2,4,56085.2284655329,56128.70694506545
19,2,5,56089.27402388981,56138.96371478416
20,2,6,56084.4607169761,56140.36161923224
21,3,0,56151.56655582897,56176.41140127614
22,3,1,56153.10212048881,56184.15817729777
23,3,2,56092.44098619053,56129.708254361285
24,3,3,56004.05604675811,56047.53452629066
25,3,4,56083.8058201666,56133.495511060944
26,3,5,56086.808706340445,56142.70960859658
27,3,6,55936.723792811485,55998.83590642941
28,4,0,56150.208849280825,56181.26490608979
29,4,1,56131.70682768547,56168.974095856225
30,4,2,56092.76475895125,56136.2432384838
31,4,3,56087.02124673268,56136.710937627024
32,4,4,56085.53430794383,56141.43521019997
33,4,5,56086.608038759485,56148.72015237741
34,4,6,56087.89521891624,56156.218543895964
35,5,0,56098.59610200695,56135.86337017771
36,5,1,56098.25466265908,56141.73314219163
37,5,2,56093.93449786666,56143.62418876101
38,5,3,56086.91508641861,56142.815988674745
39,5,4,56089.342396688065,56151.45451030599
40,5,5,55950.442306507815,56018.76563148754
41,5,6,55950.47172462473,56025.00626096625
42,6,0,56098.37181415217,56141.85029368472
43,6,1,56100.007833700816,56149.69752459516
44,6,2,55932.48539164165,55988.38629389778
45,6,3,55950.80429785237,56012.9164114703
46,6,4,56020.57978216594,56088.90310714567
47,6,5,56013.933209049,56088.46774539052
48,6,6,55947.42734371395,56028.17309141726
