,i,j,AIC,BIC
0,0,0,72326.82795800158,72333.03916936337
1,0,1,67981.37436284055,67993.79678556413
2,0,2,64838.445507342345,64857.07914142773
3,0,3,63018.113743556016,63042.95858900319
4,0,4,61508.48776145536,61539.54381826433
5,0,5,64958.44639387251,64995.713662043265
6,0,6,63499.33048565869,63542.808965191245
7,1,0,56409.69033751395,56422.112760237535
8,1,1,56152.13845434552,56170.7720884309
9,1,2,56141.538845476025,56166.3836909232
10,1,3,56112.2433379368,56143.299394745765
11,1,4,56076.81570940642,56114.08297757718
12,1,5,56078.57439286225,56122.0528723948
13,1,6,56078.86941252404,56128.55910341839
14,2,0,56150.25894158213,56168.89257566751
15,2,1,56145.80836994104,56170.653215388214
16,2,2,56109.86965806373,56140.9257148727
17,2,3,56091.45569134686,56128.72295951762
18,2,4,56077.64022456628,56121.11870409884
19,2,5,56079.174264329995,56128.86395522434
20,2,6,56073.87866146819,56129.779563724325
21,3,0,56143.12457545461,56167.96942090178
22,3,1,56144.71067774076,56175.766734549725
23,3,2,56082.455915917424,56119.72318408818
24,3,3,55955.81756955871,55999.29604909127
25,3,4,56073.33168508728,56123.021375981625
26,3,5,56076.43353924803,56132.334441504165
27,3,6,55924.07325004313,55986.18536366106
28,4,0,56142.02974965067,56173.08580645963
29,4,1,56123.15912376228,56160.42639193303
30,4,2,56031.11336536441,56074.59184489696
31,4,3,56076.39611771213,56126.085808606476
32,4,4,56074.95286593219,56130.853768188324
33,4,5,56075.948108258424,56138.06022187635
34,4,6,56077.285100761386,56145.60842574111
35,5,0,56089.27564620383,56126.542914374586
36,5,1,56088.67337274666,56132.15185227922
37,5,2,56083.862984898806,56133.55267579315
38,5,3,56076.48404424118,56132.38494649732
39,5,4,56079.067304443335,56141.17941806126
40,5,5,55936.00173969747,56004.3250646772
41,5,6,55945.10495542335,56019.639491764865
42,6,0,56088.782141680844,56132.2606212134
43,6,1,56090.363607856176,56140.05329875052
44,6,2,56003.74117300258,56059.642075258715
45,6,3,56012.897074926215,56075.00918854414
46,6,4,56003.880803282795,56072.20412826252
47,6,5,56005.06873976342,56079.603276104936
48,6,6,55941.11572798322,56021.86147568653
