,p,q,AIC,BIC
0,0,0,61802.476352371144,61814.9155432795
1,0,1,58336.94930918488,58355.60809554741
2,0,2,56439.17884706176,56464.05722887847
3,0,3,55631.72077321772,55662.81875048861
4,0,4,54854.397196822705,54891.71476954777
5,0,5,54444.365633142006,54487.902801321245
6,0,6,54338.72983000536,54388.48659363877
7,0,7,54164.59688071259,54220.573239800186
8,0,8,54000.391985853814,54062.587940395584
9,0,9,53835.83028195877,53904.245831954715
10,1,0,53296.55929942433,53315.21808578686
11,1,1,53207.737633033365,53232.61601485007
12,1,2,53132.483518321234,53163.58149559212
13,1,3,53072.70802817907,53110.02560090413
14,1,4,53063.34856534278,53106.88573352202
15,1,5,53047.402809633146,53097.15957326656
16,1,6,53043.306145539565,53099.28250462716
17,1,7,52994.70327951754,53056.89923405931
18,1,8,52995.96384662838,53064.379396624325
19,1,9,52997.757327309446,53072.39247275957
20,2,0,53228.905941894496,53253.7843237112
21,2,1,53064.75130598487,53095.84928325576
22,2,2,53064.38004043656,53101.697613161625
23,2,3,53075.80771179526,53119.3448799745
24,2,4,53060.134845058274,53109.89160869169
25,2,5,53048.06455112889,53104.040910216485
26,2,6,53027.74090961059,53089.93686415236
27,2,7,52996.07392898947,53064.489478985415
28,2,8,52997.70159834501,53072.33674379513
29,2,9,52999.52018315101,53080.374924055315
30,3,0,53192.3033695624,53223.40134683329
31,3,1,53063.84224171653,53101.15981444159
32,3,2,53067.74616107904,53111.28332925828
33,3,3,53044.264916452565,53094.02168008598
34,3,4,53003.20490577634,53059.18126486394
35,3,5,53016.02409893021,53078.22005347198
36,3,6,52980.88799216382,53049.30354215977
37,3,7,52997.78610535391,53072.42125080404
38,3,8,52999.58813120224,53080.44287210654
39,3,9,53001.440807728926,53088.5151440874
40,4,0,53152.625435565235,53189.9430082903
41,4,1,53055.95372013362,53099.49088831286
42,4,2,53191.46565018442,53241.222413817835
43,4,3,52962.45627669174,53018.43263577933
44,4,4,52967.62729101713,53029.8232455589
45,4,5,53004.013835726015,53072.42938572196
46,4,6,53010.42434194197,53085.0594873921
47,4,7,52999.300754109165,53080.15549501347
48,4,8,52947.22601937215,53034.30035573063
49,4,9,52948.16208037335,53041.45601218601
50,5,0,53121.453321257715,53164.990489436954
51,5,1,53049.32338228755,53099.08014592096
52,5,2,53057.903932495035,53113.88029158263
53,5,3,52963.70400941542,53025.89996395719
54,5,4,52970.01794665604,53038.43349665198
55,5,5,52963.600175796266,53038.23532124639
56,5,6,52987.00745350051,53067.86219440481
57,5,7,52988.2288085546,53075.30314491308
58,5,8,52953.428916437355,53046.722848250014
59,5,9,52929.09956228151,53028.613089548344
60,6,0,53034.95127170673,53084.70803534014
61,6,1,53020.6363209323,53076.6126800199
62,6,2,53008.23317694486,53070.42913148663
63,6,3,52958.544930994794,53026.96048099074
64,6,4,52950.27112026156,53024.90626571169
65,6,5,52910.75912019369,52991.61386109799
66,6,6,52987.84795226206,53074.92228862054
67,6,7,52996.99899096583,53090.29292277849
68,6,8,52908.38890375731,53007.902431024144
69,6,9,52936.21408433513,53041.94720705614
70,7,0,53006.458736141954,53062.43509522955
71,7,1,52994.16750887311,53056.36346341488
72,7,2,52991.908896018635,53060.32444601458
73,7,3,52948.71978623208,53023.35493168221
74,7,4,52951.21685390766,53032.07159481196
75,7,5,52991.12573406425,53078.200070422725
76,7,6,52989.42094708881,53082.71487890147
77,7,7,52949.85240552757,53049.3659327944
78,7,8,52853.16607378989,52958.8991965109
79,7,9,52909.71290164847,53021.66561982366
80,8,0,52991.05638685899,53053.25234140076
81,8,1,52992.42942153217,53060.84497152812
82,8,2,52993.71877873276,53068.35392418288
83,8,3,52995.77622021026,53076.63096111456
84,8,4,52997.57318044515,53084.64751680363
85,8,5,52994.44424327003,53087.73817508269
86,8,6,52964.108289927346,53063.62181719418
87,8,7,52950.326876144536,53056.059998865545
88,8,8,52853.740113297725,52965.69283147291
89,8,9,52846.34260761957,52964.514921248934
90,9,0,52991.98725507964,53060.40280507559
91,9,1,52994.6486581559,53069.28380360603
92,9,2,52987.772085853656,53068.62682675796
93,9,3,52997.243729481896,53084.31806584037
94,9,4,52963.30581347144,53056.5997452841
95,9,5,52956.61956520947,53056.13309247631
96,9,6,52931.02948627839,53036.7626089994
97,9,7,52881.307870690434,52993.260588865625
98,9,8,52811.13822831363,52929.310541943
99,9,9,52842.17839120629,52966.57030028983
